Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 15, 2018","1,242.70","1,243.80","1,211.70","1,229.50","1,229.50",102
"Jul 08, 2018","1,258.20","1,262.30","1,239.60","1,239.60","1,239.60",141
"Jul 01, 2018","1,249.90","1,257.30","1,237.00","1,254.30","1,254.30",81
"Jun 24, 2018","1,270.60","1,271.20","1,244.80","1,251.30","1,251.30","1,714"
"Jun 17, 2018","1,280.70","1,281.80","1,260.00","1,267.40","1,267.40",196
"Jun 10, 2018","1,299.30","1,307.70","1,274.00","1,274.60","1,274.60",990
"Jun 03, 2018","1,293.90","1,302.80","1,289.90","1,298.10","1,298.10","1,603"
"May 27, 2018","1,298.70","1,306.80","1,288.90","1,294.80","1,294.80","441,924"
"May 20, 2018","1,287.40","1,303.70","1,287.40","1,303.30","1,303.30",113
"May 13, 2018","1,319.90","1,319.90","1,285.20","1,290.20","1,290.20",42
"May 06, 2018","1,310.60","1,320.80","1,308.50","1,319.00","1,319.00",422
"Apr 29, 2018","1,309.60","1,316.20","1,302.60","1,312.70","1,312.70",104
"Apr 22, 2018","1,334.00","1,334.40","1,312.80","1,320.30","1,320.30","1,565"
"Apr 15, 2018","1,341.00","1,355.20","1,335.30","1,336.70","1,336.70","1,211"
"Apr 08, 2018","1,333.00","1,365.40","1,327.00","1,344.80","1,344.80",614
"Apr 01, 2018","1,327.00","1,347.30","1,319.00","1,331.90","1,331.90","2,675"
"Mar 25, 2018","1,348.50","1,354.40","1,321.70","1,322.80","1,322.80","355,768"
"Mar 18, 2018","1,309.40","1,349.30","1,307.30","1,349.30","1,349.30",52
"Mar 11, 2018","1,319.40","1,325.90","1,310.10","1,311.30","1,311.30",66
"Mar 05, 2018","1,323.50","1,338.10","1,313.00","1,322.40","1,322.40",213
"Feb 26, 2018","1,335.00","1,340.50","1,301.80","1,321.10","1,321.10","1,618"
"Feb 19, 2018","1,348.40","1,350.20","1,322.00","1,328.20","1,328.20",899
"Feb 12, 2018","1,323.80","1,361.40","1,318.00","1,353.20","1,353.20",832
"Feb 05, 2018","1,331.10","1,343.70","1,307.00","1,313.10","1,313.10","2,571"
"Jan 29, 2018","1,338.70","1,352.10","1,327.70","1,333.70","1,333.70","61,502"
"Jan 22, 2018","1,328.40","1,362.40","1,328.40","1,351.60","1,351.60","280,777"
"Jan 15, 2018","1,331.10","1,338.00","1,326.00","1,331.90","1,331.90",301
"Jan 08, 2018","1,319.90","1,338.20","1,309.60","1,333.40","1,333.40",150
